nse_ticker,company_name,macro,sector,industry,basic_industry,themes
AKUMS,Akums Drugs and Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
AKZOINDIA,,,,,,
ALANKIT,Alankit Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
ALBERTDAVD,Albert David Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
ALEMBICLTD,Alembic Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,realty
ALEMBICPHARM,,,,,,
ALGOQUANT,Algoquant Fintech Limited,Financial Services,Financial Services,Finance,Other Financial Services,new_age_tech
ALICON,Alicon Castalloy Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ev
ALIVUS,Alivus Life Sciences Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
ALKALI,Alkali Metals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,specialty_chem
ALKEM,Alkem Laboratories Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
ALKYL,,,,,,
ALKYLAMINE,Alkyl Amines Chemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,specialty_chem
ALLCARGO,Allcargo Logistics Limited,Services,Services,Transport Services,Logistics Solution Provider,logistics
ALLDIGI,Alldigi Tech Limited,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),new_age_tech
ALLTIME,All Time Plastics Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Houseware,discretionary
ALMONDZ,Almondz Global Securities Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,capital_markets
ALOKIND,,,,,,
ALOKINDS,Alok Industries Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,discretionary
ALPA,Alpa Laboratories Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
ALPHAGEO,Alphageo (India) Limited,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling,
ALUCAST,,,,,,
AMAGI,Amagi Media Labs Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,it_services
AMANTA,Amanta Healthcare Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
AMARA,,,,,,
AMARON,,,,,,
AMBER,Amber Enterprises India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,semis;discretionary
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products,
AMBIKCO,Ambika Cotton Mills Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,discretionary
AMBUJACEM,Ambuja Cements Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,cement
AMDIND,AMD Industries Limited,Industrials,Capital Goods,Industrial Products,Packaging,
AMJLAND,Amj Land Holdings Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,realty
AMNPLST,Amines & Plasticizers Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,specialty_chem
AMRUTANJAN,Amrutanjan Health Care Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,specialty_chem;cdmo_pharma;branded_pharma
AMTEK,,,,,,
ANAND,,,,,,
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,Financial Services,Capital Markets,Financial Products Distributor,capital_markets
ANANTRAJ,Anant Raj Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,realty;data_center
ANCHOR,,,,,,
ANDHRAPAP,ANDHRA PAPER LIMITED,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,
ANDHRAPER,,,,,,
ANDHRSUGAR,The Andhra Sugars Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,specialty_chem
ANGELBRKG,,,,,,
ANGELONE,Angel One Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,capital_markets
ANIKINDS,Anik Industries Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,
ANMOL,Anmol India Limited,Energy,Oil Gas & Consumable Fuels,Consumable Fuels,Trading - Coal,metals
ANTELOPUS,Antelopus Selan Energy Limited,Energy,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production,oil_upstream
ANTGRAPHIC,Antarctica Limited,Industrials,Capital Goods,Industrial Products,Packaging,
ANTHEM,Anthem Biosciences Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology,
ANUHPHR,Anuh Pharma Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
ANUP,The Anup Engineering Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,capex
ANURAS,Anupam Rasayan India Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,specialty_chem
APAR,,,,,,
APARINDS,Apar Industries Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,semis;capex
APCL,Anjani Portland Cement Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,cement
APCOTEXIND,Apcotex Industries Limited,Industrials,Capital Goods,Industrial Products,Rubber,
APEX,Apex Frozen Foods Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Seafood,
APL,,,,,,metals
APLAPOLLO,APL Apollo Tubes Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,metals
APLLTD,Alembic Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
APOLLO,Apollo Micro Systems Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,defense
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Healthcare,Healthcare Services,Hospital,hospitals
APOLLOPHARM,,,,,,
APOLLOPIPE,Apollo Pipes Limited,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,
APOLLOPIPES,,,,,,
APOLLOTYRE,Apollo Tyres Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,
APOLSINHOT,Apollo Sindoori Hotels Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,discretionary
APTECHT,Aptech Limited,Consumer Discretionary,Consumer Services,Other Consumer Services,Education,discretionary;new_age_tech
APTUS,Aptus Value Housing Finance India Limited,Financial Services,Financial Services,Finance,Housing Finance Company,nbfc
AQYLON,Aqylon Nexus Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production,
ARCHIDPLY,Archidply Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,specialty_chem;discretionary
ARCHIES,Archies Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Leisure Products,discretionary
ARE&M,Amara Raja Energy & Mobility Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ev
ARENTERP,Rajdarshan Industries Limited,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals,metals
ARFIN,Arfin India Limited,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium,metals
ARIES,Aries Agro Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,specialty_chem;rural_agri
ARIHANTCAP,Arihant Capital Markets Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,capital_markets
ARIHANTSUP,Arihant Superstructures Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,realty
ARIS,Arisinfra Solutions Limited,Commodities,Construction Materials,Other Construction Materials,Other Construction Materials,
ARISINFRA,,,,,,
ARKADE,Arkade Developers Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,ev;realty
