nse_ticker,company_name,macro,sector,industry,basic_industry,source
AHLEAST,Asian Hotels (East) Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,nse_official
AHLUCONT,Ahluwalia Contracts (India) Limited,Industrials,Construction,Construction,Civil Construction,nse_official
AIAENG,AIA Engineering Limited,Industrials,Capital Goods,Industrial Products,Castings & Forgings,nse_official
AIIL,Authum Investment & Infrastructure Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
AIRAN,Airan Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
AIROLAM,Airo Lam limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,nse_official
AJANTPHARM,Ajanta Pharma Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AJAXENGG,Ajax Engineering Limited,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles,nse_official
AJMERA,Ajmera Realty & Infra India Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
AJOONI,Ajooni Biotech Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed,nse_official
AKASAAIR,,,,,,missing
AKASH,Akash Infra-Projects Limited,Industrials,Construction,Construction,Civil Construction,nse_official
AKG,Akg Exim Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,nse_official
AKI,AKI India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products,nse_official
AKSHAR,Akshar Spintex Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,nse_official
AKSHARCHEM,AksharChem India Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,nse_official
AKSHOPTFBR,Aksh Optifibre Limited,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories,nse_official
AKUMS,Akums Drugs and Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AKZOINDIA,,,,,,missing
ALANKIT,Alankit Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
ALBERTDAVD,Albert David Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
ALEMBICLTD,Alembic Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
ALEMBICPHARM,,,,,,missing
ALGOQUANT,Algoquant Fintech Limited,Financial Services,Financial Services,Finance,Other Financial Services,nse_official
ALICON,Alicon Castalloy Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
ALIVUS,Alivus Life Sciences Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
ALKALI,Alkali Metals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
ALKEM,Alkem Laboratories Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
ALKYL,,,,,,missing
ALKYLAMINE,Alkyl Amines Chemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
ALLCARGO,Allcargo Logistics Limited,Services,Services,Transport Services,Logistics Solution Provider,nse_official
ALLDIGI,Alldigi Tech Limited,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),nse_official
ALLTIME,All Time Plastics Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Houseware,nse_official
ALMONDZ,Almondz Global Securities Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
ALOKIND,,,,,,missing
ALOKINDS,Alok Industries Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,nse_official
ALPA,Alpa Laboratories Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
ALPHAGEO,Alphageo (India) Limited,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling,nse_official
ALUCAST,,,,,,missing
AMAGI,Amagi Media Labs Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
AMANTA,Amanta Healthcare Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AMARA,,,,,,missing
AMARON,,,,,,missing
AMBER,Amber Enterprises India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,nse_official
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products,nse_official
AMBIKCO,Ambika Cotton Mills Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,nse_official
AMBUJACEM,Ambuja Cements Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,nse_official
AMDIND,AMD Industries Limited,Industrials,Capital Goods,Industrial Products,Packaging,nse_official
AMJLAND,Amj Land Holdings Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
AMNPLST,Amines & Plasticizers Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,nse_official
AMRUTANJAN,Amrutanjan Health Care Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AMTEK,,,,,,missing
ANAND,,,,,,missing
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,Financial Services,Capital Markets,Financial Products Distributor,nse_official
ANANTRAJ,Anant Raj Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
ANCHOR,,,,,,missing
ANDHRAPAP,ANDHRA PAPER LIMITED,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,nse_official
ANDHRAPER,,,,,,missing
ANDHRSUGAR,The Andhra Sugars Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,nse_official
ANGELBRKG,,,,,,missing
ANGELONE,Angel One Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
ANIKINDS,Anik Industries Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,nse_official
ANMOL,Anmol India Limited,Energy,Oil Gas & Consumable Fuels,Consumable Fuels,Trading - Coal,nse_official
ANTELOPUS,Antelopus Selan Energy Limited,Energy,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production,nse_official
ANTGRAPHIC,Antarctica Limited,Industrials,Capital Goods,Industrial Products,Packaging,nse_official
ANTHEM,Anthem Biosciences Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology,nse_official
ANUHPHR,Anuh Pharma Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
ANUP,The Anup Engineering Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
ANURAS,Anupam Rasayan India Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
APAR,,,,,,missing
APARINDS,Apar Industries Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,nse_official
APCL,Anjani Portland Cement Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,nse_official
APCOTEXIND,Apcotex Industries Limited,Industrials,Capital Goods,Industrial Products,Rubber,nse_official
APEX,Apex Frozen Foods Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Seafood,nse_official
APL,,,,,,missing
APLAPOLLO,APL Apollo Tubes Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
APLLTD,Alembic Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
APOLLO,Apollo Micro Systems Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Healthcare,Healthcare Services,Hospital,nse_official
APOLLOPHARM,,,,,,missing
APOLLOPIPE,Apollo Pipes Limited,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,nse_official
APOLLOPIPES,,,,,,missing
APOLLOTYRE,Apollo Tyres Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,nse_official
APOLSINHOT,Apollo Sindoori Hotels Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,nse_official
APTECHT,Aptech Limited,Consumer Discretionary,Consumer Services,Other Consumer Services,Education,nse_official
APTUS,Aptus Value Housing Finance India Limited,Financial Services,Financial Services,Finance,Housing Finance Company,nse_official
AQYLON,Aqylon Nexus Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production,nse_official
ARCHIDPLY,Archidply Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,nse_official
ARCHIES,Archies Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Leisure Products,nse_official
ARE&M,Amara Raja Energy & Mobility Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
ARENTERP,Rajdarshan Industries Limited,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals,nse_official
ARFIN,Arfin India Limited,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium,nse_official
ARIES,Aries Agro Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,nse_official
ARIHANTCAP,Arihant Capital Markets Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
ARIHANTSUP,Arihant Superstructures Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
ARIS,Arisinfra Solutions Limited,Commodities,Construction Materials,Other Construction Materials,Other Construction Materials,nse_official
ARISINFRA,,,,,,missing
ARKADE,Arkade Developers Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
ARMANFIN,Arman Financial Services Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
AROGRANITE,Aro Granite Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles,nse_official
AROHAN,,,,,,missing
ARROWGREEN,Arrow Greentech Limited,Industrials,Capital Goods,Industrial Products,Packaging,nse_official
ARSSBL,Anand Rathi Share and Stock Brokers Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
ARTEMISMED,Artemis Medicare Services Limited,Healthcare,Healthcare,Healthcare Services,Hospital,nse_official
ARTNIRMAN,Art Nirman Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
ARVIND,Arvind Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,nse_official
ARVINDFASN,Arvind Fashions Limited,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,nse_official
ARVINDSMRT,,,,,,missing
ARVSMART,Arvind SmartSpaces Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
ASAHIINDIA,Asahi India Glass Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
ASAHISONG,Asahi Songwon Colors Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,nse_official
ASAHISONGI,,,,,,missing
ASAL,Automotive Stampings and Assemblies Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
ASALCBR,Associated Alcohols & Breweries Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,nse_official
ASHAPURMIN,Ashapura Minechem Limited,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,nse_official
ASHIANA,Ashiana Housing Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
ASHIMASYN,Ashima Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,nse_official
ASHIRVAD,,,,,,missing
ASHOKA,Ashoka Buildcon Limited,Industrials,Construction,Construction,Civil Construction,nse_official
ASHOKAMET,Ashoka Metcast Limited,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals,nse_official
ASHOKLEY,Ashok Leyland Limited,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Commercial Vehicles,nse_official
ASIANENE,Asian Energy Services Limited,Energy,Oil Gas & Consumable Fuels,Oil,Oil Equipment & Services,nse_official
ASIANHOTNR,Asian Hotels (North) Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,nse_official
ASIANPAINT,Asian Paints Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,nse_official
ASIANTILES,Asian Granito India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,nse_official
ASK,,,,,,missing
ASKAUTOLTD,ASK Automotive Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
ASMS,Bartronics India Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
ASPINWALL,Aspinwall and Company Limited,Services,Services,Transport Services,Logistics Solution Provider,nse_official
ASTEC,Astec LifeSciences Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,nse_official
ASTECLIFE,,,,,,missing
ASTER,,,,,,missing
ASTERDM,Aster DM Healthcare Limited,Healthcare,Healthcare,Healthcare Services,Hospital,nse_official
ASTRA,,,,,,missing
ASTRAL,Astral Limited,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,nse_official
ASTRAMICRO,Astra Microwave Products Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
ASTRAZEN,AstraZeneca Pharma India Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
ASTRON,Astron Paper & Board Mill Limited,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,nse_official
ATALREAL,Atal Realtech Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
ATAM,Atam Valves Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
ATGL,Adani Total Gas Limited,Energy,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier,nse_official
ATHERENERG,Ather Energy Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,nse_official
ATL,Allcargo Terminals Limited,Services,Services,Transport Infrastructure,Port & Port services,nse_official
ATLANTAA,ATLANTAA LIMITED,Services,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity,nse_official
ATLANTAELE,Atlanta Electricals Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
ATLASCYCLE,Atlas Cycles (Haryana) Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Cycles,nse_official
ATUL,Atul Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
ATULAUTO,Atul Auto Limited,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Commercial Vehicles,nse_official
AUBANK,AU Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank,nse_official
AURIONPRO,Aurionpro Solutions Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
AUROPHARMA,Aurobindo Pharma Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AURUM,Aurum PropTech Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
AUTOAXLES,Automotive Axles Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
AUTOEQ,,,,,,missing
AUTOIND,Autoline Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
AVAADA,,,,,,missing
AVADHSUGAR,Avadh Sugar & Energy Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,nse_official
AVALON,Avalon Technologies Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,nse_official
AVANTEL,Avantel Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
AVANTIFEED,Avanti Feeds Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed,nse_official
AVENUSEMART,,,,,,missing
AVG,AVG Logistics Limited,Services,Services,Transport Services,Logistics Solution Provider,nse_official
AVL,Aditya Vision Limited,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,nse_official
AVONMORE,Avonmore Capital & Management Services Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
AVROIND,AVRO INDIA LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,nse_official
AVTNPL,AVT Natural Products Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,nse_official
AWFIS,Awfis Space Solutions Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
AWHCL,Antony Waste Handling Cell Limited,Utilities,Utilities,Other Utilities,Waste Management,nse_official
AWL,AWL Agri Business Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,nse_official
AXISBANK,Axis Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,nse_official
AXISCADES,AXISCADES Technologies Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
AYE,Aye Finance Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
AYMSYNTEX,AYM Syntex Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,nse_official
AZAD,Azad Engineering Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
BAFNAPH,Bafna Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
BAGFILMS,B.A.G Films and Media Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production,nse_official
BAIDFIN,Baid Finserv Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,nse_official
BAJAJAUT,,,,,,missing
BAJAJCON,Bajaj Consumer Care Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,nse_official
BAJAJCONS,,,,,,missing
BAJAJELEC,Bajaj Electricals Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,nse_official
BAJAJELECTR,,,,,,missing
BAJAJFINSV,Bajaj Finserv Limited,Financial Services,Financial Services,Finance,Holding Company,nse_official
BAJAJHCARE,Bajaj Healthcare Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
BAJAJHFL,Bajaj Housing Finance Limited,Financial Services,Financial Services,Finance,Housing Finance Company,nse_official
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,nse_official
